,Unnamed: 0,row,stu_num,riazi_1,fizik_1,mabani_kamputer,riazi_2,fizik_2,ri_gosaste,barname_pishrafte,moadelat_def,amar_va_eh,sakhteman_dadeh,medar_mantaghi,mabani_fanavari,sex,memari_com,mabani_e_didit,o_va_m_modiriat,os,tarahi_alg,nazariye,os_tarahi_DB,eghtesad_mohandesi,moadel
0,0,1,8513331010,13.25,8.5,20,11.75,10,12.5,20,10,11.75,18.5,8.5,14.75,m,15.75,14,16.5,12,16.2,10.75,18,17.8,14.42
1,1,2,8513331030,10,11,10,14,11.5,10.25,5.5,13,11.5,10,15,18.8,f,16.5,14,16,14,15.5,11.5,15,14.6,14.27
2,2,3,8513331040,14.25,12.5,15.6,15,16.5,14.5,11,18.5,16.75,14,15.5,18.1,f,17.25,18.5,16.5,16.5,18.2,19,14,16.1,16.49
3,3,4,8513331050,13,8.5,9.5,14.5,14.5,15,10,14,15.5,11.5,16,13.2,f,15.25,14,13.5,12,14,12.5,12.5,13.2,13.94
4,4,5,8513331060,11,0,9.9,10,9.75,8,15.2,11.5,8,13,10,18.85,m,13,12,15.5,10.5,12,10,16.5,10,12.8
5,5,6,8513331070,13.25,8.5,19,16.25,9,13.5,18.5,16,16.25,15.6,18.5,11,m,15.75,16,14,13.5,20,15.25,15.5,15,15.82
6,6,7,8513331080,13.25,13,12.9,13.75,12.5,13,6,14.75,15,8.5,14.5,17.1,f,16.25,11.5,14.5,13,15.5,12.5,17,15.8,14.66
7,7,8,8513331090,8.5,7,9.75,13.5,11,13.65,13.52,9.75,9,9.84,13.5,16.75,f,14.5,9.5,12,11.5,10,11.25,12,12,13.17
8,8,9,8513331090,9,7,10,16,11,12.5,9,9,11.5,9,14,16.75,m,14.5,9.5,12,11.5,10,11.25,12,12,13.04
9,9,10,8513331100,18,18,18.5,12,17.75,12.5,16.25,14,16.75,19.11,14,19,f,13,9.5,13,12,11,16,19.5,16.1,13.23
10,10,11,8513331100,14,9.25,9.2,13.5,13.5,11,9,8.5,11,11.5,12,12.2,f,13,9.5,13,12,11,16,19.5,16.1,13.23
11,11,12,8513331110,14,15.5,16.7,14.25,19.5,16,19,14.5,12.25,18.5,13,20,f,16.25,13.5,17,12.5,20,15.25,15,14.4,16.59
12,12,13,8513331120,11.25,12.5,9.8,14.5,16.75,14.25,12.8,17,19,10,13,17.3,f,14,19,15.5,11.5,13.5,12,14.5,12.2,14.56
